,auc,f1s,auc_pr
0,0.7586936090225564,0.5306122448979592,0.48121260276737754
1,0.7035818713450293,0.5,0.48121260276737754
2,0.7041823308270676,0.47058823529411764,0.48121260276737754
3,0.7253086419753086,0.49523809523809526,0.48121260276737754
4,0.7420454545454546,0.5137614678899083,0.48121260276737754
5,0.7606397397668745,0.4835164835164835,0.48121260276737754
6,0.7078764824345491,0.45098039215686275,0.48121260276737754
7,0.7181818181818181,0.4897959183673469,0.48121260276737754
8,0.6814148073022313,0.40350877192982454,0.48121260276737754
9,0.707466514676546,0.35294117647058826,0.48121260276737754
